minutes,hour,date,Variables,Mean_Values
5,11,2021-01-15T11:05:00Z,Depth,0.276
5,11,2021-01-15T11:05:00Z,Salinity,33.56630221
5,11,2021-01-15T11:05:00Z,Temperature,29.26
5,11,2021-01-15T11:05:10Z,Depth,0.257
5,11,2021-01-15T11:05:10Z,Salinity,33.60080367
5,11,2021-01-15T11:05:10Z,Temperature,29.22
5,11,2021-01-15T11:05:20Z,Depth,0.248
5,11,2021-01-15T11:05:20Z,Salinity,33.59328203
5,11,2021-01-15T11:05:20Z,Temperature,29.24
5,11,2021-01-15T11:05:30Z,Depth,0.233
5,11,2021-01-15T11:05:30Z,Salinity,33.57808123
5,11,2021-01-15T11:05:30Z,Temperature,29.22
5,11,2021-01-15T11:05:40Z,Depth,0.259
5,11,2021-01-15T11:05:40Z,Salinity,33.58679274
5,11,2021-01-15T11:05:40Z,Temperature,29.24
5,11,2021-01-15T11:05:50Z,Depth,0.264
5,11,2021-01-15T11:05:50Z,Salinity,33.554256
5,11,2021-01-15T11:05:50Z,Temperature,29.24
5,12,2021-01-15T12:05:00Z,Depth,0.277
5,12,2021-01-15T12:05:00Z,Salinity,33.90031651
5,12,2021-01-15T12:05:00Z,Temperature,29.06
5,12,2021-01-15T12:05:10Z,Depth,0.284
5,12,2021-01-15T12:05:10Z,Salinity,33.90031686
5,12,2021-01-15T12:05:10Z,Temperature,29.06
5,12,2021-01-15T12:05:20Z,Depth,0.299
5,12,2021-01-15T12:05:20Z,Salinity,33.88193819
5,12,2021-01-15T12:05:20Z,Temperature,29.1
5,12,2021-01-15T12:05:30Z,Depth,0.346
5,12,2021-01-15T12:05:30Z,Salinity,33.95083476
5,12,2021-01-15T12:05:30Z,Temperature,29.04
5,12,2021-01-15T12:05:40Z,Depth,0.316
5,12,2021-01-15T12:05:40Z,Salinity,33.89888656
5,12,2021-01-15T12:05:40Z,Temperature,29.09
5,12,2021-01-15T12:05:50Z,Depth,0.284
5,12,2021-01-15T12:05:50Z,Salinity,33.91201217
5,12,2021-01-15T12:05:50Z,Temperature,29.09
5,13,2021-01-15T13:05:00Z,Depth,0.365
5,13,2021-01-15T13:05:00Z,Salinity,33.8024566
5,13,2021-01-15T13:05:00Z,Temperature,29.39
5,13,2021-01-15T13:05:10Z,Depth,0.318
5,13,2021-01-15T13:05:10Z,Salinity,33.77525959
